SEXO;FORMA_INGRESSO;COTA2;FORMA_EVASAO2;COD_CURSO;ANO_INGRESSO;DT_EVASAO;ANO_EVASAO;PSC;Enem-L;Enem-CH;Enem-CN;Enem-M;Enem-R;EnemTotal;NotaAL1;NotaAL2;NotaC1;NotaIP;NotaAED1;CR-1P;N-MATR;N-DISC-APRV;N-DISC-APRV-1P;TX-INTEGR-DISC;TX-APROV-DISC;TX-APROV-DISC-1P;TX-APROVEIT-DISC
M;PSC;Renda;Sem Evasão;IE08;2016;;;;413.8;492.2;616.1;353.8;580.0;491.18;5.37;3.48;6.17;5.73;1.76;4.84;44;23;5;0.469387755;0.522727273;0.833333333;0.62585034
M;PSC;AC;Sem Evasão;IE08;2017;;;;615.5;589.7;628;661;660.0;630.84;5.08;1.56;5;8.25;6.71;5.3725;33;20;4;0.408163265;0.606060606;0.666666667;0.816326531
M;PSC;AC;Sem Evasão;IE08;2018;;;;;;;;;;7.06;1.48;8.2;7.68;3.97;6.53;18;9;6;0.183673469;0.5;1;0.734693878
M;SISU;AC;Sem Evasão;IE08;2015;;;;603.9;691.7;578;567.6;600.0;608.24;6.83;6.86;0.55;8.18;3.78;6.349090909;46;15;4;0.306122449;0.326086957;0.666666667;0.306122449
M;PSC;AC;Desistente;IE08;2018;11/12/2018;2018;;;;;;;;5.17;;5.49;7.99;;6.106666667;7;5;5;0.102040816;0.714285714;0.833333333;0.408163265
F;SISU;IndepRenda;Desistente;IE08;2016;15/02/2018;2018;;646.7;665.5;520.8;558.4;800.0;638.28;0;;0.02;0;;0.003333333;6;0;0;0;0;0;0
M;PSC;AC;Sem Evasão;IE08;2016;;;;495.6;573.3;504.8;381.2;580.0;506.98;2.14;;0.56;6.33;0;4.128181818;39;13;2;0.265306122;0.333333333;0.333333333;0.353741497
M;PSC;AC;Formado;IE08;2012;18/03/2016;2016;;;;;;;;7.87;5.12;9.02;7.2;9;7.968333333;59;45;6;0.918367347;0.762711864;1;0.524781341
M;PSC;AC;Desistente;IE08;2012;06/03/2015;2015;;;;;;;;5;0.83;6.17;1.03;;4.312727273;30;16;5;0.326530612;0.533333333;0.833333333;0.186588921
M;SISU;Renda;Sem Evasão;IE08;2015;;;;577.3;678.8;500.7;525.6;500.0;556.48;0.1;;0.21;7.29;0.3;2.882727273;29;5;2;0.102040816;0.172413793;0.333333333;0.102040816
M;SISU;Renda;Sem Evasão;IE08;2016;;;;640.2;661.6;586.6;539.5;600.0;605.58;1.52;;0.95;7.87;0.08;4.388;30;9;2;0.183673469;0.3;0.333333333;0.244897959
M;SISU;IndepRenda;Sem Evasão;IE08;2017;;;;619.9;618.4;574.4;710.8;540.0;612.7;1.67;;0;2.25;;1.3275;8;0;0;0;0;0;0
M;SISU;AC;Sem Evasão;IE08;2016;;;;648.3;638.5;616.9;819.2;840.0;712.58;6.8;2.77;5.01;9.37;8.84;6.749166667;46;38;6;0.775510204;0.826086957;1;1.034013605
M;PSC;AC;Sem Evasão;IE08;2017;;;;;;;;;;0.07;;0.69;4.08;;2.391818182;21;4;1;0.081632653;0.19047619;0.166666667;0.163265306
M;PSC;AC;Formado;IE08;2014;11/09/2018;2018;;542.2;627;533.9;391.4;840.0;586.9;0.83;0;3.78;7.53;6.37;5.391818182;68;45;3;0.918367347;0.661764706;0.5;0.734693878
M;PSC;IndepRenda;Sem Evasão;IE08;2018;;;;590.7;623.4;600.3;735.8;720.0;654.04;5.44;2.2;5;8.3;6.13;5.386363636;19;8;5;0.163265306;0.421052632;0.833333333;0.653061224
F;PSC;Renda;Sem Evasão;IE08;2018;;;;546.1;606.2;567.6;506.7;560.0;557.32;7.56;1.17;7.47;7.85;7.86;6.11;19;8;5;0.163265306;0.421052632;0.833333333;0.653061224
F;PSC;Renda;Sem Evasão;IE08;2014;;;;;;;;;;6.33;7.83;8.15;9.69;8.37;8.178;68;32;5;0.653061224;0.470588235;0.833333333;0.52244898
F;PSC;AC;Desistente;IE08;2013;28/02/2016;2016;;;;;;;;0;;0.22;0;;0.562222222;11;0;0;0;0;0;0
M;PSC;AC;Sem Evasão;IE08;2016;;;;587.6;599.3;517.4;540.4;780.0;604.94;4.89;;2.52;6.57;1.53;5.491818182;39;23;4;0.469387755;0.58974359;0.666666667;0.62585034
F;PSC;Renda;Sem Evasão;IE08;2015;;;;;;;;;;0;;0;0;;0;28;0;0;0;0;0;0
F;PSC;AC;Sem Evasão;IE08;2017;;;;;;;;;;1.43;;5;2.98;;4.143636364;31;11;3;0.224489796;0.35483871;0.5;0.448979592
M;PSC;Renda;Sem Evasão;IE08;2016;;;;499.8;573.1;362.9;385.3;640.0;492.22;0.78;;0.81;5.47;0;4.168181818;44;22;2;0.448979592;0.5;0.333333333;0.598639456
M;PSC;AC;Desistente;IE08;2013;10/07/2015;2015;;;;;;;;0;;0;0;;0;5;0;0;0;0;0;0
M;PSC;Renda;Desistente;IE08;2013;25/05/2016;2016;;;;;;;;0;;0.22;5.01;0;3.165;43;17;3;0.346938776;0.395348837;0.5;0.231292517
F;PSC;AC;Formado;IE08;2013;19/01/2018;2018;;613.6;697.3;574.1;681.8;800.0;673.36;9.45;6.83;8.22;9.13;8.07;7.953;67;45;5;0.918367347;0.671641791;0.833333333;0.612244898
F;SISU;AC;Desistente;IE08;2012;15/12/2017;2017;;;;;;;;5;5;5.57;3.23;;6.434545455;70;30;4;0.612244898;0.428571429;0.666666667;0.349854227
F;PSC;AC;Formado;IE08;2012;18/03/2016;2016;;;;;;;;7.67;5;9.8;8.8;8.35;7.8625;65;44;6;0.897959184;0.676923077;1;0.513119534
M;PSC;Renda;Sem Evasão;IE08;2017;;;;;;;;;;8.63;7.18;6.67;7.62;8.23;7.774166667;31;25;6;0.510204082;0.806451613;1;1.020408163
M;SISU;Renda;Sem Evasão;IE08;2017;;;;584.3;625.6;597.3;750.1;600.0;631.46;5.22;0.77;5.95;5.82;0.96;4.149090909;24;10;4;0.204081633;0.416666667;0.666666667;0.408163265
F;PSC;IndepRenda;Sem Evasão;IE08;2017;;;;;;;;;;6.55;5.16;8.07;9.3;7.94;7.144166667;31;22;6;0.448979592;0.709677419;1;0.897959184
F;PSC;AC;Desistente;IE08;2013;28/02/2016;2016;;560.7;552.3;409.2;607.8;600.0;546;0;;0;0;;0.1;6;0;0;0;0;0;0
M;SISU;AC;Desistente;IE08;2014;19/12/2017;2017;;601.9;661.3;516.2;531.9;880.0;638.26;0;;0.67;5.05;0;1.989;12;3;3;0.06122449;0.25;0.5;0.048979592
M;SISU;Renda;Sem Evasão;IE08;2018;;;;586.4;589.1;584.5;697.7;640.0;619.54;1.11;;0.94;6.49;2;2.978888889;10;2;2;0.040816327;0.2;0.333333333;0.163265306
M;SISU;AC;Sem Evasão;IE08;2018;;;;601.9;612.1;636.2;734;740.0;664.84;0.44;;0.55;0.03;;1.391666667;6;0;0;0;0;0;0
M;PSC;AC;Desistente;IE08;2014;02/03/2018;2018;;;;;;;;2.1;0.17;2.38;5.32;0;4.716363636;51;16;3;0.326530612;0.31372549;0.5;0.26122449
M;SISU;AC;Sem Evasão;IE08;2018;;;;598.4;596.6;609.8;643.9;880.0;665.74;5;1.07;5;5.78;4.38;5.126666667;19;7;5;0.142857143;0.368421053;0.833333333;0.571428571
M;SISU;Renda;Sem Evasão;IE08;2014;;;;533.4;580.2;440.2;466.8;700.0;544.12;0.7;0;2;5.95;0;3.484545455;62;22;3;0.448979592;0.35483871;0.5;0.359183673
M;PSC;AC;Sem Evasão;IE08;2018;;;;;;;;;;10;9.5;10;9.65;10;9.553076923;20;12;6;0.244897959;0.6;1;0.979591837
M;PSC;AC;Sem Evasão;IE08;2013;;;;;;;;;;0;;0;5.63;7.08;3.506666667;75;46;3;0.93877551;0.613333333;0.5;0.62585034
M;PSC;Renda;Sem Evasão;IE08;2015;;;;;;;;;;5.67;0.44;0.21;5.08;0;3.408888889;11;4;4;0.081632653;0.363636364;0.666666667;0.081632653
M;SISU;AC;Formado;IE08;2014;11/09/2018;2018;;561.7;564.9;585.8;660.9;760.0;626.66;1.43;;3.89;7.1;5.07;6.407272727;66;47;3;0.959183673;0.712121212;0.5;0.767346939
F;PSC;IndepRenda;Sem Evasão;IE08;2018;;;;;;;;;;5.72;6.08;6.63;9.3;6.37;7.721666667;19;11;6;0.224489796;0.578947368;1;0.897959184
M;SISU;AC;Desistente;IE08;2012;28/02/2016;2016;;;;;;;;0;;0.89;1.77;;3.188333333;7;1;1;0.020408163;0.142857143;0.166666667;0.011661808
M;SISU;IndepRenda;Sem Evasão;IE08;2015;;;;589.9;681.5;690.3;691.7;560.0;642.68;6.17;6.83;6;5.62;5;6.292307692;45;20;3;0.408163265;0.444444444;0.5;0.408163265
M;PSC;IndepRenda;Sem Evasão;IE08;2015;;;;;;;;;;1.6;;0.67;7.35;2.41;4.948;52;24;3;0.489795918;0.461538462;0.5;0.489795918
M;SISU;AC;Sem Evasão;IE08;2018;;;;593.7;612.4;612.8;738.4;720.0;655.46;8.33;6.12;8.35;8.6;8.28;8.054166667;18;11;6;0.224489796;0.611111111;1;0.897959184
M;SISU;AC;Desistente;IE08;2014;19/07/2017;2017;;635.7;607.6;606.4;613.4;800.0;652.62;0;;0;0;;0.43;6;0;0;0;0;0;0
M;Outros;Outro;Desistente;IE08;2015;04/07/2018;2018;;;;;;;;;;;0;;0;2;0;0;0;0;0;0
M;SISU;IndepRenda;Sem Evasão;IE08;2016;;;;563.7;629.2;543.4;628.2;740.0;620.9;0;;0.21;4.47;;1.034;10;0;0;0;0;0;0
F;SISU;IndepRenda;Sem Evasão;IE08;2017;;;;617.1;636.1;527.8;459.9;760.0;600.18;0.87;;0.88;6.94;5;4.978;24;13;3;0.265306122;0.541666667;0.5;0.530612245
M;PSC;Renda;Sem Evasão;IE08;2015;;;;;;;;;;5.67;0.44;1.5;5.23;2.4;5.041818182;39;18;4;0.367346939;0.461538462;0.666666667;0.367346939
F;PSE;Outro;Sem Evasão;IE08;2015;;;;;;;;;;7.67;5;5.2;5.51;5.01;5.240909091;62;10;2;0.204081633;0.161290323;0.333333333;0.204081633
M;PSC;AC;Sem Evasão;IE08;2014;;;;;;;;;;0.43;;1.22;4.86;;3.005;28;6;2;0.12244898;0.214285714;0.333333333;0.097959184
M;SISU;AC;Desistente;IE08;2013;28/02/2016;2016;;432.1;566.9;486.5;735.4;500.0;544.18;0;;0;0;;0.1;5;0;0;0;0;0;0
M;PSC;IndepRenda;Sem Evasão;IE08;2017;;;;;;;;;;6.3;1.6;8.4;7.48;6.9;6.436666667;31;22;6;0.448979592;0.709677419;1;0.897959184
M;SISU;AC;Sem Evasão;IE08;2017;;;;661.9;664.1;686.9;745.7;600.0;671.72;7.57;5.03;7.93;8.43;8.06;6.869166667;31;24;6;0.489795918;0.774193548;1;0.979591837
M;PSC;Renda;Sem Evasão;IE08;2018;;;;546.4;566.7;512;775.8;560.0;592.18;2.83;;2.64;3.38;;4.39;18;5;2;0.102040816;0.277777778;0.333333333;0.408163265
M;PSC;AC;Sem Evasão;IE08;2014;;;;;;;;;;0.87;;1.22;5.25;0;2.172222222;44;5;2;0.102040816;0.113636364;0.333333333;0.081632653
M;PSC;AC;Sem Evasão;IE08;2018;;;;;;;;;;6.06;4.28;7.08;9.21;7.91;7.19;18;9;6;0.183673469;0.5;1;0.734693878
M;SISU;AC;Formado;IE08;2013;21/02/2019;2019;;524.6;546.9;478.3;487.7;620.0;531.5;0.22;;1;2.85;;2.71875;72;48;2;0.979591837;0.666666667;0.333333333;0.653061224
