SEXO;FORMA_INGRESSO;COTA2;FORMA_EVASAO2;COD_CURSO;ANO_INGRESSO;DT_EVASAO;ANO_EVASAO;PSC;Enem-L;Enem-CH;Enem-CN;Enem-M;Enem-R;EnemTotal;NotaAL1;NotaAL2;NotaC1;NotaIP;NotaAED1;CR-1P;N-MATR;N-DISC-APRV;N-DISC-APRV-1P;TX-INTEGR-DISC;TX-APROV-DISC;TX-APROV-DISC-1P;TX-APROVEIT-DISC
F;PSC;AC;Sem Evasão;IE08;2014;;;;583;596.4;527.9;595.3;660.0;592.52;2.1;;4.2;6.04;2.88;5.467;70;36;3;0.734693878;0.514285714;0.5;0.587755102
M;PSE;Outro;Desistente;IE08;2012;28/02/2016;2016;;;;;;;;5.7;5.5;5.5;0.03;;4.248571429;15;0;0;0;0;0;0
F;SISU;AC;Desistente;IE08;2014;13/03/2017;2017;;591.6;602.7;593.3;574.1;760.0;624.34;0.07;;0.89;5.53;0;2.233;37;10;3;0.204081633;0.27027027;0.5;0.163265306
F;PSC;AC;Sem Evasão;IE08;2018;;;;652.2;685.1;699;794.1;800.0;726.08;6.89;5;6.63;7.64;6.3;6.6275;18;9;5;0.183673469;0.5;0.833333333;0.734693878
F;PSC;AC;Desistente;IE08;2012;28/02/2016;2016;;;;;;;;1.11;0;3.82;2.47;;3.600909091;16;4;3;0.081632653;0.25;0.5;0.04664723
F;SISU;AC;Sem Evasão;IE08;2013;;;;561.8;672.1;599.7;684.4;580.0;619.6;1.55;5.42;0.45;7.49;8.51;5.639090909;87;36;3;0.734693878;0.413793103;0.5;0.489795918
M;PSE;Outro;Sem Evasão;IE08;2015;;;;;;;;;;5;0;5.49;5.32;7.51;4.879545455;67;16;0;0.326530612;0.23880597;0;0.326530612
M;SISU;Renda;Sem Evasão;IE08;2016;;;;597.3;664.5;624.5;610.7;580.0;615.4;0.91;;0.92;6.87;0;4.335833333;33;11;3;0.224489796;0.333333333;0.5;0.299319728
M;PSC;AC;Desistente;IE08;2012;28/02/2016;2016;;;;;;;;0;;0;0.13;;0.01625;14;0;0;0;0;0;0
M;SISU;Renda;Sem Evasão;IE08;2013;;;;468.7;427.4;359;439.5;520.0;442.92;0;;0;0;;0.532857143;24;1;0;0.020408163;0.041666667;0;0.013605442
M;PSC;AC;Formado;IE08;2013;16/08/2017;2017;;;;;;;;7.78;6;7.55;9;9.58;7.875;70;44;5;0.897959184;0.628571429;0.833333333;0.598639456
M;PSC;AC;Sem Evasão;IE08;2012;;;;;;;;;;5;1.83;6.55;3.23;;5.559166667;82;45;5;0.918367347;0.548780488;0.833333333;0.524781341
M;PSC;AC;Formado;IE08;2015;21/02/2019;2019;;;;;;;;8.33;9.23;8.67;9.2;10;9.25;58;48;5;0.979591837;0.827586207;0.833333333;0.979591837
M;PSC;AC;Sem Evasão;IE08;2018;;;;;;;;;;9.5;7.12;9.79;9.39;10;9.083846154;20;12;6;0.244897959;0.6;1;0.979591837
M;SISU;AC;Formado;IE08;2013;10/11/2016;2016;;601;664.9;571.1;732.5;660.0;645.9;6;7.58;6.5;8.53;5.84;7.528823529;68;36;3;0.734693878;0.529411765;0.5;0.489795918
M;SISU;AC;Sem Evasão;IE08;2018;;;;560.7;658.7;654.3;770.1;920.0;712.76;6.28;8.47;8.49;8.78;9.52;7.301538462;18;10;5;0.204081633;0.555555556;0.833333333;0.816326531
F;PSC;AC;Sem Evasão;IE08;2018;;;;;;;;;;7.5;5.48;10;9.21;7.86;7.9325;19;11;6;0.224489796;0.578947368;1;0.897959184
M;SISU;AC;Sem Evasão;IE08;2015;;;;601.2;632.6;562.8;591;660.0;609.52;6.33;6.41;1.92;8.62;8.06;7.26;53;39;4;0.795918367;0.735849057;0.666666667;0.795918367
M;SISU;AC;Sem Evasão;IE08;2012;;;;;;;;;;3.45;1.93;3.98;5;6.25;6.296153846;73;35;4;0.714285714;0.479452055;0.666666667;0.408163265
M;SISU;AC;Formado;IE08;2012;05/04/2017;2017;;;;;;;;0.22;5.02;1.25;5.2;0.67;5.213076923;75;44;4;0.897959184;0.586666667;0.666666667;0.513119534
M;PSC;IndepRenda;Sem Evasão;IE08;2016;;;;561.7;663.1;590.4;672.3;540.0;605.5;5.94;4.13;2.92;6.37;6.88;6.012727273;48;35;4;0.714285714;0.729166667;0.666666667;0.952380952
M;SISU;AC;Desistente;IE08;2017;21/12/2018;2018;;635.4;695.7;595.7;651.6;960.0;707.68;6.88;1.78;5.77;8.69;5.28;4.796666667;18;7;5;0.142857143;0.388888889;0.833333333;0.285714286
M;PSC;AC;Sem Evasão;IE08;2016;;;;577.6;668.9;565.7;643.1;680.0;627.06;0.77;;1.37;6.77;5.32;5.227272727;48;28;3;0.571428571;0.583333333;0.5;0.761904762
M;SISU;Renda;Sem Evasão;IE08;2018;;;;593.9;631.8;541.4;729.3;680.0;635.28;7.39;6.33;8.04;9.04;8.9;8.066363636;19;11;6;0.224489796;0.578947368;1;0.897959184
M;SISU;AC;Formado;IE08;2014;11/09/2018;2018;;676.3;723.8;632.6;740.1;880.0;730.56;1.67;5.75;0;8.17;5.33;6.817272727;72;27;0;0.551020408;0.375;0;0.440816327
M;PSC;AC;Sem Evasão;IE08;2018;;;;;;;;;;5.11;5.52;2.97;9.39;7.11;6.742727273;17;8;4;0.163265306;0.470588235;0.666666667;0.653061224
M;PSC;Renda;Sem Evasão;IE08;2017;;;;;;;;;;2.55;;5;6.67;6.05;4.676363636;27;13;4;0.265306122;0.481481481;0.666666667;0.530612245
M;PSC;AC;Desistente;IE08;2015;04/07/2018;2018;;;;;;;;6.5;0;0.42;6.33;0;3.42;9;4;4;0.081632653;0.444444444;0.666666667;0.081632653
M;Outros;Outro;Desistente;IE08;2014;06/03/2015;2015;;;;;;;;;;5.4;6;7.3;6.510625;16;0;0;0;0;0;0
M;PSC;AC;Desistente;IE08;2012;06/03/2015;2015;;;;;;;;0;;0.09;1.93;;2.633333333;11;3;3;0.06122449;0.272727273;0.5;0.034985423
M;PSC;Renda;Sem Evasão;IE08;2016;;;;554.3;519.9;452.7;619.6;540.0;537.3;0.11;;0.18;5.77;0;2.802;28;8;2;0.163265306;0.285714286;0.333333333;0.217687075
M;SISU;AC;Desistente;IE08;2012;28/02/2016;2016;;;;;;;;1.11;;3.18;2.27;;2.626363636;21;2;2;0.040816327;0.095238095;0.333333333;0.023323615
M;SISU;AC;Desistente;IE08;2012;28/02/2016;2016;;;;;;;;0;;0.2;0.07;;2.211666667;23;2;2;0.040816327;0.086956522;0.333333333;0.023323615
M;PSC;Renda;Sem Evasão;IE08;2016;;;;571.4;643;494.3;481.5;700.0;578.04;3.18;;1.62;7.2;0.75;4.670909091;28;7;2;0.142857143;0.25;0.333333333;0.19047619
M;PSC;AC;Desistente;IE08;2014;19/07/2017;2017;;;;;;;;5;0.17;4.12;5.19;0.51;2.655;10;3;3;0.06122449;0.3;0.5;0.048979592
M;PSC;IndepRenda;Formado;IE08;2013;16/08/2017;2017;;490.1;564.5;545.1;680;440.0;543.94;7.45;7.33;6.55;5.12;6.89;6.831;74;46;5;0.93877551;0.621621622;0.833333333;0.62585034
M;PSC;AC;Sem Evasão;IE08;2016;;;;566.1;605;608.1;664.4;480.0;584.72;4.54;;1.19;5.2;1.47;3.025384615;26;7;2;0.142857143;0.269230769;0.333333333;0.19047619
M;PSC;Renda;Desistente;IE08;2016;15/02/2018;2018;;599.3;618.5;561.6;529.5;600.0;581.78;0;;0;1.57;;2.033;17;1;0;0.020408163;0.058823529;0;0.027210884
M;PSC;AC;Desistente;IE08;2014;06/03/2015;2015;;510.5;611.6;483;523.2;680.0;561.66;0;;0;0;;0;5;0;0;0;0;0;0
M;PSC;AC;Sem Evasão;IE08;2014;;;;515.7;507.8;542.1;577.9;580.0;544.7;0.4;;2.73;5;0;3.666363636;39;7;3;0.142857143;0.179487179;0.5;0.114285714
M;PSC;AC;Sem Evasão;IE08;2015;;;;;;;;;;0.1;;0.21;6.62;2.25;4.44;49;24;3;0.489795918;0.489795918;0.5;0.489795918
M;SISU;AC;Desistente;IE08;2012;20/12/2018;2018;;;;;;;;0.67;;0.65;2.67;;3.943333333;31;7;3;0.142857143;0.225806452;0.5;0.081632653
F;PSC;IndepRenda;Desistente;IE08;2016;28/01/2019;2019;;404.5;508.4;449.8;411.7;380.0;430.88;4.26;;0.54;5.37;0.13;2.655454545;24;4;2;0.081632653;0.166666667;0.333333333;0.108843537
F;PSC;AC;Formado;IE08;2015;21/02/2019;2019;;;;;;;;9.83;9.01;6.79;8.33;9.73;9.02;57;48;5;0.979591837;0.842105263;0.833333333;0.979591837
F;PSC;Renda;Desistente;IE08;2014;07/06/2016;2016;;;;;;;;0;;0.45;3.43;;1.941;20;7;2;0.142857143;0.35;0.333333333;0.114285714
M;SISU;AC;Sem Evasão;IE08;2018;;;;607.5;625.8;682.5;721.8;720.0;671.52;6.61;2;5.04;8.45;8.32;6.022727273;19;9;6;0.183673469;0.473684211;1;0.734693878
M;SISU;Renda;Sem Evasão;IE08;2017;;;;579.7;560.1;455.9;665.4;620.0;576.22;6.02;0.89;6.46;9.13;2.99;6.622105263;38;15;5;0.306122449;0.394736842;0.833333333;0.612244898
M;SISU;AC;Sem Evasão;IE08;2015;;;;599.9;668;515.7;658;760.0;640.32;0.83;;0.67;7.53;0.77;4.546363636;61;22;3;0.448979592;0.360655738;0.5;0.448979592
F;PSC;AC;Sem Evasão;IE08;2013;;;;;;;;;;0.22;0;1.78;5.01;3.48;3.049090909;77;17;3;0.346938776;0.220779221;0.5;0.231292517
F;SISU;Renda;Sem Evasão;IE08;2013;;;;496.2;506.3;446.5;460.3;380.0;457.86;0;;0.45;5.02;2.23;2.406363636;48;9;3;0.183673469;0.1875;0.5;0.12244898
F;PSC;AC;Formado;IE08;2013;21/02/2019;2019;;;;;;;;3.33;;2;7.29;5.87;4.527777778;79;47;3;0.959183673;0.594936709;0.5;0.639455782
F;SISU;Renda;Sem Evasão;IE08;2016;;;;619.7;686.6;574.1;640.2;780.0;660.12;6.12;7.52;5.64;8.33;8.03;7.558333333;44;39;6;0.795918367;0.886363636;1;1.06122449
M;SISU;AC;Sem Evasão;IE08;2018;;;;567.6;625.3;648.4;659.6;780.0;656.18;6.39;2.18;8;9.04;5.21;6.645833333;18;9;6;0.183673469;0.5;1;0.734693878
M;PSC;AC;Formado;IE08;2012;15/01/2016;2016;;;;;;;;7.89;7.12;9.7;7;7.8;8.097272727;65;45;6;0.918367347;0.692307692;1;0.524781341
F;PSC;AC;Sem Evasão;IE08;2017;;;;;;;;;;5;0.89;7.07;8.07;1.32;5.441666667;33;16;5;0.326530612;0.484848485;0.833333333;0.653061224
F;SISU;AC;Sem Evasão;IE08;2017;;;;641.4;662.2;639.4;696.6;700.0;667.92;5;7;8.5;8.78;7.02;7.956;30;17;4;0.346938776;0.566666667;0.666666667;0.693877551
F;PSC;AC;Desistente;IE08;2012;28/01/2014;2014;;;;;;;;0.89;;2.33;2.97;;4.069166667;18;4;3;0.081632653;0.222222222;0.5;0.04664723
M;PSC;AC;Desistente;IE08;2012;19/07/2017;2017;;;;;;;;8.89;5.75;9.28;8.8;9.39;7.697272727;30;10;6;0.204081633;0.333333333;1;0.116618076
M;SISU;AC;Sem Evasão;IE08;2015;;;;570.5;624;601;708;680.0;636.7;0;;0;0;;0;39;1;0;0.020408163;0.025641026;0;0.020408163
M;SISU;AC;Desistente;IE08;2012;26/03/2015;2015;;;;;;;;0.45;;0;0.1;;1.76;26;2;2;0.040816327;0.076923077;0.333333333;0.023323615
M;SISU;AC;Formado;IE08;2013;05/04/2017;2017;;562.2;649.9;673.1;881.3;520.0;657.3;9.45;8.5;8.67;9.35;7.59;8.621;64;44;5;0.897959184;0.6875;0.833333333;0.598639456
M;PSC;AC;Desistente;IE08;2012;04/07/2018;2018;;;;;;;;0.89;;4.07;2.77;;5.794166667;72;19;1;0.387755102;0.263888889;0.166666667;0.221574344
M;SISU;AC;Formado;IE08;2015;16/08/2017;2017;;611.6;658.5;616.9;761;800.0;689.6;8;8.1;7;7.4;5.3;6.600217391;52;6;2;0.12244898;0.115384615;0.333333333;0.12244898
M;SISU;AC;Sem Evasão;IE08;2016;;;;642.3;701.7;634;803.3;800.0;716.26;9.07;10;10;9.2;8.67;8.858333333;44;37;6;0.755102041;0.840909091;1;1.006802721
F;PSC;AC;Sem Evasão;IE08;2018;;;;624.8;614;639.2;665.4;820.0;672.68;6.44;2.92;9.11;8.25;6.05;7.395833333;19;9;6;0.183673469;0.473684211;1;0.734693878
M;Outros;Outro;Sem Evasão;IE08;2015;;;;;;;;;;;;;3.07;;0.908;38;8;0;0.163265306;0.210526316;0;0.163265306
F;SISU;Renda;Sem Evasão;IE08;2017;;;;570.2;633.3;619.8;641.5;680.0;628.96;1.77;;0.53;5.89;1.92;4.518888889;25;12;3;0.244897959;0.48;0.5;0.489795918
F;SISU;IndepRenda;Desistente;IE08;2014;19/07/2017;2017;;560;584.3;539.7;588.3;800.0;614.46;0;;0;0;;0;6;0;0;0;0;0;0
F;SISU;AC;Sem Evasão;IE08;2017;;;;640.4;658.1;619.1;541.4;940.0;679.8;7.63;1.44;6.87;9.56;6.99;6.420833333;30;21;6;0.428571429;0.7;1;0.857142857
M;SISU;AC;Desistente;IE08;2018;10/07/2018;2018;;623.8;697.3;626.3;748.6;860.0;711.2;0;;0;0;;1.5;6;0;0;0;0;0;0
M;PSC;AC;Formado;IE08;2012;10/11/2016;2016;;;;;;;;5.11;5;6.53;6.13;9.17;7.383333333;58;45;6;0.918367347;0.775862069;1;0.524781341
M;PSC;AC;Desistente;IE08;2012;28/04/2014;2014;;;;;;;;5;6.77;9.63;7.1;6.55;5.784615385;25;13;5;0.265306122;0.52;0.833333333;0.151603499
F;SISU;AC;Sem Evasão;IE08;2013;;;;519.4;571.8;515.7;551.4;640.0;559.66;0.89;;0.45;5.01;0;2.348181818;42;7;3;0.142857143;0.166666667;0.5;0.095238095
M;PSC;AC;Desistente;IE08;2013;27/01/2014;2014;;;;;;;;0;;0;0.22;;1.88;7;1;1;0.020408163;0.142857143;0.166666667;0.013605442
M;PSC;AC;Sem Evasão;IE08;2014;;;;;;;;;;2.5;5;4.35;9.01;5.58;6.593636364;70;46;3;0.93877551;0.657142857;0.5;0.751020408
M;PSC;AC;Sem Evasão;IE08;2018;;;;604.3;702.1;689.1;781.3;720.0;699.36;9.33;8.13;9.61;10;9.86;9.09;20;12;6;0.244897959;0.6;1;0.979591837
M;SISU;AC;Formado;IE08;2014;19/01/2018;2018;;;;;;;;6.7;0.33;6.26;6.6;5.13;6.348;65;46;5;0.93877551;0.707692308;0.833333333;0.751020408
M;SISU;Renda;Sem Evasão;IE08;2015;;;;544.8;599.7;602.9;520.1;680.0;589.5;1.17;;0.21;6.11;1.77;4.307777778;29;4;2;0.081632653;0.137931034;0.333333333;0.081632653
M;SISU;AC;Desistente;IE08;2013;19/12/2017;2017;;569;595.3;582.5;707.9;640.0;618.94;0.22;;0.45;3.51;;2.62375;18;4;2;0.081632653;0.222222222;0.333333333;0.054421769
M;PSC;AC;Desistente;IE08;2012;11/01/2013;2013;;;;;;;;1.33;;1.87;2.4;;2.545;6;1;1;0.020408163;0.166666667;0.166666667;0.011661808
M;Outros;Outro;Sem Evasão;IE08;2016;;;;;;;;;;8.7;8.7;5.1;8.8;7.75;6.637058824;50;31;2;0.632653061;0.62;0.333333333;0.843537415
M;PSC;AC;Desistente;IE08;2012;19/07/2017;2017;;;;;;;;2.5;;1.35;1.13;;2.675;22;4;3;0.081632653;0.181818182;0.5;0.04664723
M;PSC;IndepRenda;Sem Evasão;IE08;2017;;;;;;;;;;5.17;;1.03;0.39;;4.65;18;6;3;0.12244898;0.333333333;0.5;0.244897959
M;PSC;AC;Sem Evasão;IE08;2018;;;;;;;;;;8.67;7.82;8.88;9.48;9.88;8.534615385;20;12;6;0.244897959;0.6;1;0.979591837
M;PSE;Outro;Desistente;IE08;2015;07/08/2015;2015;;603.4;644.4;629.5;601;760.0;647.66;0;;0;;;0;3;0;0;0;0;0;0
M;PSC;IndepRenda;Sem Evasão;IE08;2018;;;;592.1;633.2;556.9;728.8;720.0;646.2;1.11;;1.72;0.65;;1.975555556;11;1;1;0.020408163;0.090909091;0.166666667;0.081632653
M;PSC;IndepRenda;Sem Evasão;IE08;2017;;;;;;;;;;1.5;;5;0.51;;3.15;21;2;2;0.040816327;0.095238095;0.333333333;0.081632653
M;SISU;IndepRenda;Sem Evasão;IE08;2016;;;;599.5;589.6;589.3;623.9;760.0;632.46;5.56;4.53;2.3;7.6;5.02;5.862727273;38;24;5;0.489795918;0.631578947;0.833333333;0.653061224
M;SISU;Renda;Sem Evasão;IE08;2015;;;;493;525.1;519.3;413.9;640.0;518.26;0.93;;0;6.78;0;4.421;37;10;3;0.204081633;0.27027027;0.5;0.204081633
M;SISU;Renda;Sem Evasão;IE08;2016;;;;599.4;636.7;570.6;498.6;760.0;613.06;6.87;3.62;6.14;7.2;8.19;7.035;39;27;6;0.551020408;0.692307692;1;0.734693878
M;SISU;AC;Sem Evasão;IE08;2018;;;;654.6;664.3;630.6;715.2;640.0;660.94;6.83;8.3;0;0;6.77;6.112941176;55;0;0;0;0;0;0
M;PSC;AC;Sem Evasão;IE08;2014;;;;;;;;;;0;;0.22;5.28;0.67;2.841818182;71;39;3;0.795918367;0.549295775;0.5;0.636734694
M;SISU;AC;Sem Evasão;IE08;2015;;;;613.4;641.3;646.9;806.5;740.0;689.62;3.67;;2.46;8.07;5;6.1;27;7;3;0.142857143;0.259259259;0.5;0.142857143
M;SISU;AC;Desistente;IE08;2013;20/12/2018;2018;;574.5;565.2;596.2;844.2;720.0;660.02;10;9.83;8.45;8.73;8.98;8.927272727;42;10;5;0.204081633;0.238095238;0.833333333;0.136054422
M;SISU;AC;Formado;IE08;2012;11/09/2018;2018;;;;;;;;0.89;;0;1.9;;3.861;81;46;3;0.93877551;0.567901235;0.5;0.536443149
M;PSC;IndepRenda;Desistente;IE08;2014;12/02/2016;2016;;;;;;;;0.17;;0.45;0;;1.531111111;11;2;2;0.040816327;0.181818182;0.333333333;0.032653061
M;SISU;AC;Formado;IE08;2013;04/04/2014;2014;;558.9;626.8;631.2;731.5;680.0;645.68;5;6;6.4;8.5;8.5;6.597826087;49;5;2;0.102040816;0.102040816;0.333333333;0.068027211
M;PSC;Renda;Desistente;IE08;2015;20/12/2018;2018;;554.1;611.2;556.6;586.3;620.0;585.64;4.2;;0.67;6.51;0;2.265;16;2;2;0.040816327;0.125;0.333333333;0.040816327
M;SISU;IndepRenda;Desistente;IE08;2013;23/05/2016;2016;;525.8;558.7;596.1;602.3;700.0;596.58;0;;0.45;0;;0.05;23;0;0;0;0;0;0
M;SISU;AC;Sem Evasão;IE08;2015;;;;643.5;581.2;520.1;778.4;760.0;656.64;8.67;7.75;5;8.7;6.67;6.952;37;13;5;0.265306122;0.351351351;0.833333333;0.265306122
M;SISU;AC;Desistente;IE08;2012;04/07/2018;2018;;;;;;;;1.22;0;0.69;4.33;;5.275833333;74;30;3;0.612244898;0.405405405;0.5;0.349854227
M;SISU;Renda;Sem Evasão;IE08;2017;;;;594.4;577.2;464.7;569.9;580.0;557.24;0;;0;0;;2.622222222;30;12;0;0.244897959;0.4;0;0.489795918
M;SISU;AC;Sem Evasão;IE08;2018;;;;660.3;661.5;676.7;836.9;700.0;707.08;7.17;8.17;8.05;9.61;9.16;6.984210526;24;7;2;0.142857143;0.291666667;0.333333333;0.571428571
M;PSC;Renda;Sem Evasão;IE08;2018;;;;574.3;578.2;520.9;667.5;620.0;592.18;0.44;;0.48;5.66;5;3.770833333;18;4;2;0.081632653;0.222222222;0.333333333;0.326530612
M;SISU;AC;Desistente;IE08;2013;28/02/2016;2016;;;;;;;;0;;0.22;0;;0.202857143;7;0;0;0;0;0;0
M;PSC;AC;Sem Evasão;IE08;2013;;;;;;;;;;2.78;5;1;5.32;1.07;4.549230769;65;27;3;0.551020408;0.415384615;0.5;0.367346939
M;PSC;IndepRenda;Sem Evasão;IE08;2015;;;;;;;;;;3.77;;0;5;0.47;3.5575;50;23;3;0.469387755;0.46;0.5;0.469387755
M;PSC;Renda;Sem Evasão;IE08;2018;;;;592.2;643.2;595.7;627.2;680.0;627.66;5.67;6.5;6.41;9.39;8.08;8.01;20;11;6;0.224489796;0.55;1;0.897959184
M;SISU;AC;Sem Evasão;IE08;2012;;;;;;;;;;0;;0;5.6;7.1;5.622727273;111;36;4;0.734693878;0.324324324;0.666666667;0.419825073
M;SISU;AC;Desistente;IE08;2012;29/08/2014;2014;;;;;;;;0.45;;0.98;1.7;;3.6275;25;6;3;0.12244898;0.24;0.5;0.069970845
M;SISU;Renda;Sem Evasão;IE08;2017;;;;644.9;604.1;612;638.6;580.0;615.92;6.85;6.02;7;10;9.8;7.626153846;33;26;6;0.530612245;0.787878788;1;1.06122449
F;SISU;AC;Formado;IE08;2014;19/01/2018;2018;;;;;;;;7.43;5.33;6.33;8.49;6.78;7.684;64;46;5;0.93877551;0.71875;0.833333333;0.751020408
F;PSC;AC;Sem Evasão;IE08;2016;;;;649.6;670.8;584.1;642.4;560.0;621.38;7.56;5.53;5.41;8.37;9.07;7.654166667;48;39;6;0.795918367;0.8125;1;1.06122449
F;PSC;AC;Sem Evasão;IE08;2015;;;;;;;;;;8.5;8.83;0.75;8.85;9.17;7.47;10;8;4;0.163265306;0.8;0.666666667;0.163265306
M;SISU;AC;Formado;IE08;2013;21/02/2019;2019;;518.6;559.7;583;757.2;500.0;583.7;0.67;0.67;1.22;5.09;1.4;3.841818182;73;47;3;0.959183673;0.643835616;0.5;0.639455782
M;SISU;AC;Desistente;IE08;2012;19/07/2017;2017;;;;;;;;0.22;;0.95;2.67;;3.92;21;5;3;0.102040816;0.238095238;0.5;0.058309038
M;SISU;AC;Sem Evasão;IE08;2016;;;;665.9;712.9;667.4;789.9;720.0;711.22;5.01;5.52;6.31;6.23;6.67;6.455;43;31;6;0.632653061;0.720930233;1;0.843537415
M;PSE;Outro;Sem Evasão;IE08;2015;;;;477.4;571.2;623.8;644.4;560.0;575.36;5.77;5.12;6.11;5.05;6.45;7.085555556;70;22;4;0.448979592;0.314285714;0.666666667;0.448979592
M;PSC;AC;Sem Evasão;IE08;2016;;;;594.3;634.3;600.3;631.3;780.0;648.04;0.78;;0.19;5.43;0.88;3.356363636;30;11;3;0.224489796;0.366666667;0.5;0.299319728
M;PSC;IndepRenda;Sem Evasão;IE08;2014;;;;;;;;;;7.27;7.33;6.47;9.9;9.83;8.501;67;45;5;0.918367347;0.671641791;0.833333333;0.734693878
M;SISU;AC;Sem Evasão;IE08;2017;;;;662.6;662;636.5;827.5;680.0;693.72;5.5;1.33;5.69;8.45;6.53;5.590833333;33;20;5;0.408163265;0.606060606;0.833333333;0.816326531
M;SISU;IndepRenda;Sem Evasão;IE08;2016;;;;584;644.7;572.9;623.3;860.0;656.98;8;6.63;8.02;8.23;7.87;7.67;47;40;6;0.816326531;0.85106383;1;1.088435374
M;SISU;IndepRenda;Sem Evasão;IE08;2016;;;;619.2;690.2;633.1;761.2;640.0;668.74;7.63;4.18;7.22;9.43;7.03;7.3675;46;40;6;0.816326531;0.869565217;1;1.088435374
M;PSC;IndepRenda;Sem Evasão;IE08;2016;;;;;;;;;;2.15;;0.58;3.2;;2.846666667;7;1;1;0.020408163;0.142857143;0.166666667;0.027210884
M;SISU;Renda;Desistente;IE08;2014;19/12/2017;2017;;432;500.8;373.6;513.6;440.0;452;0.33;;0.67;5.15;0;3.065;11;3;3;0.06122449;0.272727273;0.5;0.048979592
M;PSC;IndepRenda;Sem Evasão;IE08;2015;;;;501.6;567.9;485.6;535.2;480.0;514.06;0.93;;0.67;5.1;1.82;2.614444444;32;5;2;0.102040816;0.15625;0.333333333;0.102040816
M;SISU;AC;Desistente;IE08;2012;28/02/2016;2016;;;;;;;;0;;0;0;;0;6;0;0;0;0;0;0
M;SISU;Renda;Sem Evasão;IE08;2016;;;;615.7;668.8;607;544.4;800.0;647.18;3.18;;0.8;6.73;0.21;4.608;34;10;3;0.204081633;0.294117647;0.5;0.272108844
M;PSC;AC;Desistente;IE08;2015;04/07/2018;2018;;;;;;;;1;;0;0;;0.2;5;0;0;0;0;0;0
M;SISU;Renda;Sem Evasão;IE08;2017;;;;607.7;650.8;618.9;577.1;700.0;630.9;2.37;;0.07;6.88;6.3;4.93;10;6;3;0.12244898;0.6;0.5;0.244897959
M;PSC;AC;Sem Evasão;IE08;2015;;;;;;;;;;9.17;6.39;3.87;5.87;8.22;7.398;52;37;3;0.755102041;0.711538462;0.5;0.755102041
M;SISU;IndepRenda;Sem Evasão;IE08;2018;;;;605.1;622.8;432.5;770.7;820.0;650.22;6.44;0;2.42;7.5;7.11;5.48;18;7;4;0.142857143;0.388888889;0.666666667;0.571428571
M;SISU;AC;Formado;IE08;2013;21/02/2019;2019;;574.5;590.7;617.6;778.9;540.0;620.34;0;;0.55;4.29;;3.248;71;47;2;0.959183673;0.661971831;0.333333333;0.639455782
F;SISU;AC;Formado;IE08;2014;19/01/2018;2018;;567.6;610.4;594.5;638.1;720.0;626.12;3.83;5.33;5.49;8.23;6.48;6.687272727;65;47;4;0.959183673;0.723076923;0.666666667;0.767346939
M;PSE;AC;Sem Evasão;IE08;2015;;;;;;;;;;8;0.89;6.3;6.9;6.7;5.992777778;66;30;5;0.612244898;0.454545455;0.833333333;0.612244898
M;Outros;Outro;Desistente;IE08;2012;28/01/2014;2014;;;;;;;;2.45;;1.71;5.3;0;3.227;18;3;3;0.06122449;0.166666667;0.5;0.034985423
M;PSC;IndepRenda;Sem Evasão;IE08;2018;;;;611.7;598.4;643.2;740.6;640.0;646.78;8.83;8.63;9.17;10;9.8;9.355;19;11;6;0.224489796;0.578947368;1;0.897959184
F;PSC;AC;Sem Evasão;IE08;2014;;;;;;;;;;3.1;7.67;5.67;10;9.83;8.16;58;34;4;0.693877551;0.586206897;0.666666667;0.555102041
M;PSC;IndepRenda;Sem Evasão;IE08;2018;;;;;;;;;;0.44;;2.41;6.12;3.81;5.526363636;16;6;3;0.12244898;0.375;0.5;0.489795918
M;SISU;IndepRenda;Sem Evasão;IE08;2018;;;;628.7;677.8;649.2;737.2;580.0;654.58;5.28;3.75;5.01;10;10;6.799230769;20;7;4;0.142857143;0.35;0.666666667;0.571428571
M;SISU;IndepRenda;Desistente;IE08;2017;02/03/2018;2018;;641.8;678.4;668.8;827.1;680.0;699.22;3.05;;5;7.97;8.22;5.316363636;11;6;3;0.12244898;0.545454545;0.5;0.244897959
M;SISU;AC;Sem Evasão;IE08;2016;;;;636.4;642.6;651.3;889.5;640.0;691.96;0;;0;0;;0;6;0;0;0;0;0;0
M;SISU;AC;Sem Evasão;IE08;2015;;;;587.9;606.4;597;629.7;840.0;652.2;4.17;;2.59;7.69;5.09;6.3;48;29;3;0.591836735;0.604166667;0.5;0.591836735
M;Outros;Outro;Formado;IE08;2012;18/03/2016;2016;;;;;;;;7.17;5.92;9.11;5.43;1.63;7.244166667;59;46;6;0.93877551;0.779661017;1;0.536443149
F;SISU;Renda;Sem Evasão;IE08;2018;;;;598.7;614.7;598.9;642.6;720.0;634.98;0;;1.53;5.66;4.64;4.883636364;15;5;3;0.102040816;0.333333333;0.5;0.408163265
M;SISU;AC;Desistente;IE08;2014;19/07/2017;2017;;570.2;613.4;590.7;737.4;900.0;682.34;0;;0;0;;0;5;0;0;0;0;0;0
M;SISU;AC;Desistente;IE08;2012;10/01/2014;2014;;;;;;;;0.22;;0.62;2.4;;3.663333333;9;2;2;0.040816327;0.222222222;0.333333333;0.023323615
